<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IranAntibiotic.MFG,20240724,19460.00,20350.00,19460.00,19950.00,20580869910,1031529,1135,D,19530.00,19680.00
IranAntibiotic.MFG,20240723,18900.00,19900.00,18900.00,19530.00,20629545160,1056127,1310,D,18910.00,19680.00
IranAntibiotic.MFG,20240722,18940.00,19190.00,18810.00,18910.00,22517701310,1190610,898,D,18940.00,19100.00
IranAntibiotic.MFG,20240721,19000.00,19250.00,18800.00,18940.00,15746179350,831472,862,D,19210.00,18940.00
IranAntibiotic.MFG,20240720,19810.00,19880.00,18880.00,19210.00,12067509350,628278,810,D,19290.00,19140.00
IranAntibiotic.MFG,20240717,19000.00,19840.00,18850.00,19290.00,15827246890,820678,1164,D,19460.00,19810.00
IranAntibiotic.MFG,20240714,19480.00,20060.00,18940.00,19460.00,18877377400,970028,985,D,18930.00,19290.00
IranAntibiotic.MFG,20240713,18620.00,19140.00,18620.00,18930.00,14632465300,773079,893,D,18860.00,19070.00
IranAntibiotic.MFG,20240710,18890.00,19180.00,18510.00,18860.00,16344123920,866515,945,D,19140.00,18920.00
IranAntibiotic.MFG,20240709,19400.00,19600.00,18890.00,19140.00,13854108080,723747,1586,D,19440.00,19150.00
IranAntibiotic.MFG,20240708,19550.00,20000.00,19210.00,19440.00,20193610380,1038636,6963,D,20250.00,19350.00
IranAntibiotic.MFG,20240707,21200.00,21200.00,19690.00,20250.00,27499553280,1358269,3007,D,20010.00,19930.00
IranAntibiotic.MFG,20240706,20010.00,20010.00,20000.00,20010.00,20431390010,1021059,986,D,18880.00,20010.00
IranAntibiotic.MFG,20240703,19000.00,19000.00,18680.00,18880.00,11258090710,596386,1417,D,18800.00,18990.00
IranAntibiotic.MFG,20240702,18850.00,18970.00,18210.00,18800.00,6010019150,319696,713,D,18440.00,18750.00
IranAntibiotic.MFG,20240701,17720.00,18820.00,17720.00,18440.00,5255184610,284912,816,D,18060.00,18530.00
IranAntibiotic.MFG,20240630,18020.00,18400.00,17770.00,18060.00,18764750530,1038965,3672,D,18830.00,18020.00
IranAntibiotic.MFG,20240629,18520.00,19500.00,18120.00,18830.00,9837679300,522350,1956,D,18900.00,18500.00
IranAntibiotic.MFG,20240626,18800.00,18950.00,18320.00,18900.00,10084942520,533720,1005,D,18580.00,18870.00
IranAntibiotic.MFG,20240624,18400.00,18620.00,18400.00,18580.00,4648022720,250226,714,D,18260.00,18620.00
IranAntibiotic.MFG,20240623,18310.00,18310.00,18120.00,18260.00,11090263960,607385,1062,D,17960.00,18310.00
IranAntibiotic.MFG,20240622,17770.00,17960.00,17700.00,17960.00,5238829370,291733,820,D,17610.00,17960.00
IranAntibiotic.MFG,20240619,17080.00,17640.00,17080.00,17610.00,11346893550,644337,664,D,17300.00,17640.00
IranAntibiotic.MFG,20240618,17000.00,17530.00,17000.00,17300.00,5570334070,322000,660,D,17190.00,17380.00
IranAntibiotic.MFG,20240616,17100.00,17370.00,17090.00,17190.00,8460452970,492295,824,D,17430.00,17150.00
IranAntibiotic.MFG,20240615,17620.00,17650.00,17360.00,17430.00,18370627870,1054226,968,D,17710.00,17390.00
IranAntibiotic.MFG,20240612,17620.00,18000.00,17510.00,17710.00,7621775140,430476,633,D,17860.00,17800.00
IranAntibiotic.MFG,20240611,18250.00,18250.00,17800.00,17860.00,9028826350,505473,748,D,18090.00,17930.00
IranAntibiotic.MFG,20240610,18000.00,18100.00,17930.00,18090.00,6925035840,382790,716,D,17750.00,18100.00
IranAntibiotic.MFG,20240609,17700.00,17960.00,17610.00,17750.00,8262085160,465501,813,D,17960.00,17840.00
IranAntibiotic.MFG,20240608,18100.00,18100.00,17960.00,17960.00,23793959020,1324493,1009,D,18320.00,18030.00
IranAntibiotic.MFG,20240605,18500.00,18950.00,18290.00,18320.00,17864971950,975161,807,D,18660.00,18300.00
IranAntibiotic.MFG,20240602,18500.00,18850.00,18500.00,18660.00,14203392880,761042,750,D,18740.00,18730.00
IranAntibiotic.MFG,20240601,18870.00,18950.00,18410.00,18740.00,20121478860,1073895,1029,D,18580.00,18500.00
IranAntibiotic.MFG,20240529,18400.00,18600.00,18270.00,18580.00,9144864710,492133,642,D,18240.00,18600.00
IranAntibiotic.MFG,20240528,18010.00,18240.00,18010.00,18240.00,16612976670,910844,811,D,17890.00,18240.00
IranAntibiotic.MFG,20240527,17670.00,18280.00,17640.00,17890.00,18106569970,1012263,828,D,18000.00,18260.00
IranAntibiotic.MFG,20240526,18270.00,18280.00,17990.00,18000.00,41182405950,2287567,1350,D,18350.00,17990.00
IranAntibiotic.MFG,20240525,18280.00,18800.00,18270.00,18350.00,21939595670,1195353,1514,D,18640.00,18280.00
IranAntibiotic.MFG,20240521,18650.00,18990.00,18380.00,18640.00,11263438470,604205,849,D,18750.00,18730.00
IranAntibiotic.MFG,20240519,19600.00,19600.00,18620.00,18750.00,44734978260,2385892,1752,D,19600.00,18690.00
IranAntibiotic.MFG,20240518,19590.00,20000.00,19360.00,19600.00,33609574890,1714656,2580,D,19850.00,19360.00
IranAntibiotic.MFG,20240515,20100.00,20400.00,19150.00,19850.00,35260749450,1776999,4839,D,20100.00,20150.00
IranAntibiotic.MFG,20240511,22300.00,22650.00,21750.00,22000.00,56763489550,2581608,3484,D,22150.00,22000.00
IranAntibiotic.MFG,20240508,22450.00,22750.00,21950.00,22150.00,58560054550,2642411,2130,D,22650.00,22150.00
IranAntibiotic.MFG,20240507,22550.00,22850.00,22350.00,22650.00,24651334950,1089104,1634,D,22650.00,22650.00
IranAntibiotic.MFG,20240506,22700.00,23050.00,22400.00,22650.00,37620879150,1659894,1882,D,23050.00,22450.00
